dataset,method,variant,top_k,classifier,run,OA,kappa,f1_macro
indian_pines,SRPA,full_lambda0.3,50,RF,0,77.10569105691056,0.7360366973371995,73.12754395437028
indian_pines,SRPA,full_lambda0.3,50,RF,1,77.6910569105691,0.7425364308295734,70.95023113765933
indian_pines,SRPA,full_lambda0.3,50,RF,2,76.45528455284553,0.7285286700209466,68.35126963299881
indian_pines,SRPA,full_lambda0.3,50,RF,3,76.65040650406503,0.7307169964123652,70.63351342948303
indian_pines,SRPA,full_lambda0.3,50,RF,4,78.3739837398374,0.7508065769149919,73.4615397011668
indian_pines,SRPA,no_redundancy_lambda0,50,RF,0,86.11382113821138,0.8403965917237788,83.82939626262039
indian_pines,SRPA,no_redundancy_lambda0,50,RF,1,86.3739837398374,0.8435056341251183,84.90330574619904
indian_pines,SRPA,no_redundancy_lambda0,50,RF,2,84.48780487804878,0.8218894418273571,82.03866291668642
indian_pines,SRPA,no_redundancy_lambda0,50,RF,3,85.85365853658537,0.8377274257482796,83.99854239520798
indian_pines,SRPA,no_redundancy_lambda0,50,RF,4,84.8780487804878,0.8263898585330045,81.66833665758897
indian_pines,DRL,full_sequential,10,3DCNN,0,85.22802379378717,0.8327527295631141,86.66294534217207
indian_pines,DRL,full_sequential,10,3DCNN,1,88.43357567746199,0.8678771915314157,87.94718418840503
indian_pines,DRL,full_sequential,10,3DCNN,2,91.70522141440846,0.9050873797278332,92.63197961038041
indian_pines,DRL,full_sequential,10,3DCNN,3,87.73959021810973,0.858909654854322,89.44863831360756
indian_pines,DRL,full_sequential,10,3DCNN,4,87.04560475875743,0.8532492543955312,89.53275098166901
indian_pines,DRL,random_selection,10,3DCNN,0,90.7468605419696,0.8942781452557492,88.83646816662103
indian_pines,DRL,random_selection,10,3DCNN,1,80.10575016523464,0.7727976903254565,81.39251451381392
indian_pines,DRL,random_selection,10,3DCNN,2,85.16192994051553,0.8301434563286432,82.8755460783557
indian_pines,DRL,random_selection,10,3DCNN,3,82.35294117647058,0.7968653673832873,76.48507274967973
indian_pines,DRL,random_selection,10,3DCNN,4,90.35029742233972,0.8900776517109464,87.06127441074254
paviaU,DRL,full_sequential,15,3DCNN,0,98.8610115491836,0.985040451311569,98.68442648413465
paviaU,DRL,full_sequential,15,3DCNN,1,97.98486658701712,0.973499407489629,97.0258181893076
paviaU,DRL,full_sequential,15,3DCNN,2,99.06810035842294,0.987746232379487,98.59502346522333
paviaU,DRL,full_sequential,15,3DCNN,3,97.82556750298686,0.9712672801718896,97.50748408270444
paviaU,DRL,full_sequential,15,3DCNN,4,98.99641577060932,0.9868153078948529,98.67167269243073
paviaU,DRL,random_selection,15,3DCNN,0,97.97690163281561,0.9733534279399432,97.41738069862167
paviaU,DRL,random_selection,15,3DCNN,1,98.4468339307049,0.9795680385963004,98.22423111478335
paviaU,DRL,random_selection,15,3DCNN,2,98.1521306252489,0.9756220857863451,97.5097064128868
paviaU,DRL,random_selection,15,3DCNN,3,97.16447630426124,0.9625940865954118,96.51335982636058
paviaU,DRL,random_selection,15,3DCNN,4,96.74233373158104,0.957212945370552,94.80871406534163
salinas,SRPA,full_lambda0.3,45,RF,0,94.1929921793214,0.9352604481443608,96.9437654708891
salinas,SRPA,full_lambda0.3,45,RF,1,94.12525401810457,0.934484425849866,96.96781926933271
salinas,SRPA,full_lambda0.3,45,RF,2,94.28536239916251,0.9362902263334688,96.88023573673729
salinas,SRPA,full_lambda0.3,45,RF,3,94.05135784223167,0.9336735698925667,96.81085301403058
salinas,SRPA,full_lambda0.3,45,RF,4,93.96514563704662,0.9327016319552525,96.75126442974805
salinas,SRPA,no_redundancy_lambda0,45,RF,0,94.654843278527,0.9404309842160229,97.32965743019912
salinas,SRPA,no_redundancy_lambda0,45,RF,1,94.8518997475214,0.9426266184595392,97.55341177246926
salinas,SRPA,no_redundancy_lambda0,45,RF,2,94.75337151302419,0.9415430062313932,97.30792890470434
salinas,SRPA,no_redundancy_lambda0,45,RF,3,94.77800357164851,0.9418027576083201,97.3907074729807
salinas,SRPA,no_redundancy_lambda0,45,RF,4,94.7287394543999,0.9412465396616746,97.35721234222608
salinas,DRL,full_sequential,50,RF,0,95.01816614323542,0.9444661458107664,97.48375874222913
salinas,DRL,full_sequential,50,RF,1,95.07974628979618,0.9451606561762131,97.6113183716161
salinas,DRL,full_sequential,50,RF,2,95.05511423117187,0.9448930540426229,97.39045310386734
salinas,DRL,full_sequential,50,RF,3,94.88884783545785,0.9430225732339682,97.36761288111454
salinas,DRL,full_sequential,50,RF,4,94.83342570355317,0.9424134451787938,97.36057353953798
salinas,DRL,random_selection,50,RF,0,94.76568754233635,0.9416676222752715,97.4378994170903
salinas,DRL,random_selection,50,RF,1,94.86421577683355,0.9427616769866236,97.44857311257965
salinas,DRL,random_selection,50,RF,2,94.79031960096064,0.9419511054025856,97.28553871010331
salinas,DRL,random_selection,50,RF,3,94.72258143974382,0.9411833882887743,97.33545514457118
salinas,DRL,random_selection,50,RF,4,94.53784100006159,0.9391158104921279,97.25811701478096
botswana,SRPA,full_lambda0.3,15,3DCNN,0,90.56410256410257,0.8977394373503,91.26796770910651
botswana,SRPA,full_lambda0.3,15,3DCNN,1,88.41025641025641,0.874403652468323,88.47956109489424
botswana,SRPA,full_lambda0.3,15,3DCNN,2,95.17948717948718,0.9477708734146052,95.47642641162666
botswana,SRPA,full_lambda0.3,15,3DCNN,3,89.74358974358975,0.8887913040502777,90.06585463215026
botswana,SRPA,full_lambda0.3,15,3DCNN,4,89.33333333333333,0.8844072967038981,90.19781361554598
botswana,SRPA,no_redundancy_lambda0,15,3DCNN,0,87.38461538461539,0.8630009447422864,87.15446203917986
botswana,SRPA,no_redundancy_lambda0,15,3DCNN,1,88.61538461538461,0.8768167326641391,89.09669433971476
botswana,SRPA,no_redundancy_lambda0,15,3DCNN,2,88.0,0.8701686697623601,88.70928563941615
botswana,SRPA,no_redundancy_lambda0,15,3DCNN,3,94.46153846153847,0.939979274894921,94.72143163699202
botswana,SRPA,no_redundancy_lambda0,15,3DCNN,4,84.82051282051282,0.8358059164487653,85.68476334849278
