strategy,classifier,run,OA,kappa,f1_macro,f1_Dead_Biomass,f1_Dead_Ponderosa_Pine,f1_Douglas_Fir,f1_Ponderosa_Pine,f1_Western_Larch,f1_Unknown_Class_6
baseline,RF,0,48.03493449781659,0.2458558184585582,31.02308489632433,70.12987012987013,0.0,11.267605633802818,0.0,32.69230769230769,41.02564102564102
class_weighted,RF,0,49.34497816593886,0.26533547209469543,34.530822528079675,70.74235807860262,14.285714285714285,8.823529411764707,0.0,36.69724770642202,42.10526315789473
baseline,3DCNN,0,55.26315789473685,0.3408910554358916,45.251830711709914,70.94017094017094,52.63157894736842,13.114754098360656,0.0,49.572649572649574,40.0
class_weighted,3DCNN,0,54.824561403508774,0.34862563448256734,43.522879250528064,72.48908296943232,20.0,26.31578947368421,0.0,41.66666666666667,57.14285714285714
focal_loss,3DCNN,0,56.14035087719298,0.35832489023978387,48.894449222856444,72.41379310344827,55.55555555555556,27.160493827160494,0.0,44.89795918367347,44.44444444444444
baseline,RF,1,48.90829694323144,0.24084095996373223,37.66958533253346,66.38655462184873,18.181818181818183,24.096385542168676,0.0,31.683168316831683,48.0
class_weighted,RF,1,48.47161572052402,0.2301863141701328,36.43526682747847,66.39004149377593,18.181818181818183,25.0,0.0,29.126213592233007,43.47826086956522
baseline,3DCNN,1,50.877192982456144,0.2753483356508414,40.46706397615248,68.35443037974683,52.17391304347826,16.39344262295082,0.0,36.84210526315789,28.57142857142857
class_weighted,3DCNN,1,50.43859649122807,0.3001385380164616,42.56572817869049,67.24890829694323,38.88888888888889,41.37931034482759,0.0,13.698630136986301,51.61290322580645
focal_loss,3DCNN,1,52.19298245614035,0.2882142345696692,46.851514943129466,66.38297872340425,50.0,21.53846153846154,0.0,40.33613445378151,56.00000000000001
baseline,RF,2,48.90829694323144,0.25737963912525286,37.39538481037633,68.75,13.333333333333334,20.253164556962027,0.0,33.02752293577982,51.61290322580645
class_weighted,RF,2,48.90829694323144,0.255915352143968,36.237244182786654,68.75,13.333333333333334,24.390243902439025,0.0,33.33333333333333,41.37931034482759
baseline,3DCNN,2,49.122807017543856,0.2591389114541023,42.40443695707937,67.55555555555556,36.36363636363637,34.40860215053764,0.0,19.148936170212767,54.54545454545454
class_weighted,3DCNN,2,50.0,0.2799401612322354,45.88379230931413,68.77828054298642,55.55555555555556,31.25,0.0,22.22222222222222,51.61290322580645
focal_loss,3DCNN,2,50.877192982456144,0.27610840231318745,41.51755099581187,68.46846846846847,30.76923076923077,28.205128205128204,0.0,36.666666666666664,43.47826086956522
baseline,RF,3,47.161572052401745,0.20865343424246763,29.375048962005483,65.83333333333333,0.0,24.324324324324326,0.0,30.630630630630627,26.08695652173913
class_weighted,RF,3,45.851528384279476,0.1887320724530026,29.074380165289256,64.46280991735537,0.0,16.666666666666664,0.0,30.909090909090907,33.33333333333333
baseline,3DCNN,3,46.49122807017544,0.20261437908496727,35.914316560186336,65.32258064516128,33.33333333333333,8.571428571428571,0.0,28.865979381443296,43.47826086956522
class_weighted,3DCNN,3,49.122807017543856,0.2558034834970032,40.273026438863845,66.94560669456067,42.857142857142854,17.391304347826086,0.0,30.927835051546392,43.24324324324324
focal_loss,3DCNN,3,49.122807017543856,0.2406982085438678,39.95599554816017,65.57377049180327,42.857142857142854,25.31645569620253,0.0,31.25,34.78260869565217
baseline,RF,4,45.414847161572055,0.20177909149215034,35.12947044888969,64.95726495726495,25.0,19.047619047619047,0.0,25.263157894736842,41.37931034482759
class_weighted,RF,4,45.414847161572055,0.2028238832572129,35.06320157649296,64.37768240343348,26.666666666666668,14.634146341463413,0.0,30.927835051546392,38.70967741935484
baseline,3DCNN,4,54.385964912280706,0.32557808811399647,46.154433329920685,67.21991701244814,30.76923076923077,18.75,0.0,45.28301886792453,68.75
class_weighted,3DCNN,4,52.19298245614035,0.2933951266668562,43.650561314268735,68.04979253112033,26.666666666666668,34.090909090909086,0.0,27.906976744186046,61.53846153846154
focal_loss,3DCNN,4,51.31578947368421,0.2675387821254921,39.61800676554775,65.87301587301587,28.57142857142857,9.836065573770492,0.0,43.80952380952381,50.0
