rank,band_index,drl_score_sorted
1,139,0.44938829579989087
2,202,0.44919835580144934
3,186,0.44914035547558484
4,137,0.449100576038938
5,85,0.44909809569617126
6,217,0.44908439180238446
7,107,0.4490715720307776
8,145,0.449027536068758
9,57,0.4490257793257193
10,133,0.4490163853134321
11,97,0.4490088393035618
12,20,0.448994574021745
13,30,0.4489875432757065
14,242,0.4489791942647861
15,23,0.44897641126114596
16,164,0.4489553841225314
17,154,0.4489538098982499
18,116,0.44894672588898427
19,49,0.44894554522077307
20,252,0.4489422474923218
21,168,0.4489324398036313
22,156,0.4489318832029034
23,47,0.4489272448635031
24,138,0.4489181537182784
25,42,0.44891504942478705
26,190,0.44891209295479534
27,268,0.44891000303635303
28,161,0.448908575547417
29,130,0.44890776383802183
30,91,0.4489077638380217
31,140,0.4489043461142531
32,240,0.4488999714278294
33,40,0.4488978323348352
34,166,0.448894776487701
35,222,0.4488938808083685
36,170,0.44889217901763684
37,87,0.4488915296501208
38,163,0.44888958154757264
39,131,0.4488886647934325
40,103,0.4488769188810099
41,142,0.4488744837528248
42,236,0.4488739967271876
43,206,0.4488706571228195
44,45,0.4488701005220916
45,12,0.44886880178705946
46,220,0.4488688017870594
47,43,0.4488640791142155
48,129,0.4488636068469311
49,167,0.4488630296313613
50,158,0.44886230811189903
51,233,0.44886138044401896
52,19,0.4488584119068028
53,271,0.44885743785552884
54,81,0.4488506194966103
55,225,0.4488448251403132
56,86,0.44883928508178494
57,237,0.44883849796964426
58,119,0.448837453010423
59,55,0.448832437206161
60,135,0.4488298397360971
61,67,0.4488298397360969
62,153,0.44882629773146404
63,123,0.4488261290645768
64,201,0.448824492003612
65,44,0.4488220473259045
66,6,0.44882118150254985
67,70,0.4488194498558403
68,0,0.44881769027934526
69,143,0.4488159567064439
70,98,0.4488132696684463
71,234,0.4488109490447213
72,105,0.4488088601701942
73,185,0.4488026843672445
74,15,0.4488018144011944
75,148,0.4487986700953272
76,150,0.44879787087376893
77,34,0.4487969893794034
78,125,0.4487953950243767
79,118,0.4487924056087018
80,36,0.4487916198194387
81,76,0.4487886190155138
82,205,0.4487885163487128
83,245,0.4487871670136146
84,169,0.4487822194515874
85,14,0.44878113717239404
86,173,0.44878102521247754
87,178,0.4487778903348139
88,128,0.4487760349990539
89,262,0.4487735612180404
90,182,0.44877356121804035
91,68,0.4487729640984852
92,94,0.4487717786405453
93,269,0.4487713966596535
94,215,0.4487702770604879
95,8,0.44876829098892473
96,141,0.4487675004545572
97,172,0.448761656146913
98,52,0.44876165614691294
99,122,0.4487615149800615
100,223,0.44876003272812276
101,196,0.4487585848140667
102,108,0.4487571105743006
103,155,0.4487532143692044
104,106,0.44874656790168727
105,84,0.44874620120003117
106,177,0.4487454219590119
107,247,0.4487443966418813
108,239,0.4487436509566955
109,22,0.44874198413098587
110,189,0.44874071964251633
111,162,0.44873985595173155
112,73,0.44873892828385153
113,102,0.4487377989490408
114,101,0.4487376295488195
115,230,0.4487356814462714
116,187,0.4487315069408111
117,88,0.44873061637964634
118,114,0.448729837138627
119,144,0.4487285384035949
120,180,0.4487273839724554
121,127,0.4487238902992696
122,151,0.4487235058053456
123,258,0.4487223989288978
124,72,0.4487221704124698
125,165,0.4487208589268834
126,175,0.44872037492625044
127,181,0.44871666425473017
128,231,0.44871620042079025
129,265,0.44871620042079025
130,109,0.448715839661059
131,136,0.4487079584484712
132,257,0.44870645990804964
133,243,0.44870391890472583
134,261,0.44870182156864924
135,212,0.44870158965167933
136,216,0.4486992826881354
137,120,0.448696719395309
138,260,0.448696719395309
139,99,0.4486956371161156
140,79,0.44869563711611554
141,65,0.44869477129276075
142,37,0.44869235295856313
143,191,0.4486900958466454
144,235,0.44868997596341165
145,89,0.4486869788825685
146,126,0.4486869788825684
147,209,0.4486869788825683
148,35,0.4486849282483072
149,17,0.4486848143241816
150,48,0.44868048520740805
151,160,0.4486803470441068
152,9,0.4486682770981066
153,58,0.4486674978570872
154,218,0.44866694125635903
155,188,0.4486630022358223
156,7,0.4486603706526428
157,41,0.44866000515497895
158,241,0.4486598748471163
159,270,0.4486596001440544
160,194,0.4486593283947887
161,115,0.4486577573443466
162,272,0.4486577573443465
163,197,0.44865636584252655
164,251,0.44865451050676636
165,134,0.4486535828388863
166,250,0.44865309883825333
167,61,0.44865006746586716
168,226,0.4486480168316061
169,221,0.44864801683160604
170,32,0.4486466733126073
171,56,0.4486464583495676
172,179,0.4486452985489808
173,211,0.4486446772272378
174,159,0.4486428218914777
175,10,0.4486415231564457
176,25,0.44864022442141355
177,74,0.448636028508233
178,46,0.44863592516061773
179,147,0.44863502948128525
180,219,0.44862956112325547
181,113,0.4486292573255871
182,227,0.448629092406853
183,3,0.44862903531959875
184,132,0.4486285358061249
185,266,0.44862676480380836
186,121,0.4486254598547331
187,214,0.44862463960102855
188,146,0.4486207433959324
189,50,0.4486172573176882
190,24,0.44861613878990947
191,59,0.4486121717447208
192,199,0.4486090547806436
193,263,0.44860605769980044
194,2,0.4486060576998004
195,267,0.4486053441091235
196,80,0.4486049535121213
197,75,0.44860472566387
198,96,0.4486034887733634
199,174,0.4486016334376032
200,21,0.44859931426790306
201,256,0.4485972480985339
202,29,0.4485951397624427
203,71,0.44859488676211184
204,198,0.4485948867621118
205,184,0.4485895737551625
206,149,0.4485889453349856
207,93,0.44858854843803186
208,254,0.44858613592713636
209,64,0.4485821844006696
210,78,0.44858034590098717
211,18,0.4485778851398738
212,66,0.4485771767389472
213,255,0.44857637693144947
214,183,0.4485747681757968
215,224,0.4485736347343141
216,195,0.4485726901997455
217,111,0.4485700927296812
218,83,0.4485691424357554
219,208,0.4485678008443305
220,16,0.448565010723034
221,27,0.4485630087204154
222,204,0.44856061547404186
223,200,0.44856007391657676
224,110,0.4485563414175769
225,95,0.4485530468323852
226,246,0.4485408711914595
227,82,0.44853892308891136
228,28,0.44853558348454314
229,259,0.4485342476427958
230,124,0.448533078781267
231,69,0.4485311306787189
232,213,0.4485311306787189
233,203,0.44853113067871886
234,176,0.4485221394361891
235,157,0.448521685333031
236,104,0.4485185622751827
237,244,0.44851604859447547
238,5,0.44851342065555416
239,232,0.4485065230675847
240,39,0.448503078002026
241,60,0.44850255850801307
242,100,0.44850190914049715
243,62,0.4485019091404971
244,193,0.4484999610379491
245,11,0.4484964977445301
246,249,0.44849606483285276
247,1,0.44849216862775665
248,90,0.44847701671904905
249,77,0.4484744586045919
250,51,0.44847418614269713
251,26,0.448463832590693
252,112,0.4484606279198347
253,33,0.44846029058606013
254,38,0.4484565945812257
255,171,0.4484469726486403
256,117,0.4484264201667576
257,207,0.4484165364111825
258,229,0.4484002181874853
259,238,0.44839299249803416
260,228,0.4483908672952543
261,63,0.4483752824748695
262,210,0.4483700875347411
263,54,0.44836593158263854
264,92,0.44835904828696843
265,192,0.4483575724517046
266,253,0.44834064954068065
267,53,0.4483349769049084
268,152,0.44831861040074245
269,248,0.44831034572326556
270,4,0.44828251568686384
271,31,0.4482337887108483
272,13,0.4482056829589157
273,264,0.44806358606717067
