band_index,score,rank_1_is_best
0,0.0047385613,1
2,0.0047379714,2
1,0.0047379364,3
4,0.0047372854,4
6,0.0047371145,5
131,0.0047367006,6
127,0.004736411,7
129,0.0047363187,8
128,0.0047362978,9
124,0.0047362526,10
126,0.0047362368,11
143,0.0047361115,12
123,0.004736076,13
7,0.004736067,14
130,0.0047360663,15
5,0.0047360566,16
122,0.0047360454,17
152,0.004736012,18
140,0.004736005,19
3,0.0047360025,20
141,0.004735972,21
132,0.004735967,22
144,0.004735828,23
125,0.004735789,24
145,0.004735734,25
133,0.0047355904,26
120,0.0047355713,27
149,0.004735569,28
142,0.004735411,29
146,0.004735331,30
148,0.004735204,31
147,0.0047351415,32
117,0.004735133,33
151,0.004735106,34
118,0.004735075,35
150,0.004734964,36
121,0.0047348375,37
153,0.0047347886,38
116,0.0047346842,39
11,0.004734682,40
139,0.0047345646,41
154,0.004734285,42
8,0.004734264,43
119,0.004734064,44
156,0.0047339955,45
155,0.004733987,46
158,0.004733941,47
115,0.0047336943,48
168,0.004733442,49
10,0.0047333553,50
114,0.0047332123,51
157,0.004733098,52
159,0.0047330842,53
113,0.004733073,54
166,0.004732994,55
161,0.0047329846,56
167,0.0047328346,57
160,0.004732726,58
112,0.004732531,59
9,0.004732479,60
163,0.0047324523,61
14,0.0047323713,62
165,0.004732342,63
110,0.0047322684,64
138,0.00473222,65
162,0.004731911,66
172,0.004731907,67
111,0.0047318707,68
169,0.0047318395,69
174,0.0047316933,70
170,0.0047316914,71
171,0.0047316705,72
164,0.0047316435,73
13,0.004731501,74
177,0.0047314907,75
173,0.00473118,76
109,0.0047310814,77
176,0.0047309557,78
12,0.004730467,79
134,0.0047301264,80
175,0.00473011,81
178,0.0047299084,82
185,0.0047298307,83
44,0.004729704,84
181,0.004729621,85
15,0.00472951,86
179,0.0047294986,87
184,0.004729406,88
190,0.0047293594,89
182,0.004729265,90
189,0.004729134,91
137,0.004729118,92
188,0.004729101,93
186,0.004729033,94
48,0.004728983,95
183,0.0047289785,96
45,0.004728839,97
49,0.004728791,98
50,0.004728668,99
135,0.0047285543,100
180,0.0047285454,101
136,0.004728416,102
108,0.0047283955,103
193,0.0047282916,104
43,0.0047282553,105
40,0.0047282167,106
41,0.0047281333,107
37,0.00472784,108
52,0.004727817,109
47,0.0047278013,110
187,0.004727684,111
191,0.004727593,112
39,0.004727585,113
42,0.0047274358,114
34,0.004727325,115
107,0.004727207,116
46,0.0047268374,117
36,0.004726817,118
65,0.0047267377,119
64,0.004726696,120
58,0.0047265803,121
194,0.0047265696,122
63,0.0047264807,123
192,0.004726382,124
16,0.004726348,125
51,0.0047261887,126
35,0.004726109,127
53,0.0047259578,128
56,0.0047258777,129
38,0.004725805,130
57,0.004725761,131
61,0.004725514,132
80,0.0047254483,133
62,0.0047251103,134
77,0.0047250777,135
32,0.0047250134,136
54,0.004724936,137
60,0.004724847,138
106,0.004724689,139
33,0.004724458,140
68,0.004724385,141
75,0.004724365,142
67,0.004724227,143
55,0.004724136,144
17,0.004724095,145
30,0.0047240597,146
195,0.0047240146,147
19,0.004723984,148
105,0.004723983,149
21,0.0047238604,150
59,0.0047238367,151
81,0.004723713,152
74,0.0047235275,153
69,0.0047234697,154
83,0.0047234255,155
31,0.0047233575,156
71,0.0047231317,157
196,0.004723023,158
70,0.0047228606,159
198,0.0047228415,160
73,0.004722754,161
86,0.004722729,162
72,0.004722518,163
197,0.0047224895,164
84,0.004722339,165
29,0.0047222907,166
66,0.004721839,167
20,0.004721466,168
79,0.0047214287,169
102,0.004721391,170
200,0.0047212667,171
85,0.0047211377,172
28,0.004721003,173
97,0.004720999,174
82,0.004720917,175
90,0.0047204955,176
76,0.004720385,177
22,0.004720316,178
91,0.0047202464,179
203,0.0047201975,180
201,0.0047198953,181
96,0.0047198646,182
78,0.004719695,183
92,0.004719559,184
104,0.0047194813,185
202,0.0047194427,186
18,0.004719392,187
95,0.0047188736,188
210,0.004718794,189
199,0.0047187535,190
88,0.004718677,191
99,0.004718505,192
205,0.004718414,193
204,0.004718403,194
87,0.004717962,195
27,0.0047177086,196
25,0.0047175614,197
103,0.0047175544,198
98,0.00471748,199
93,0.004717326,200
89,0.004717271,201
24,0.0047172406,202
26,0.004716872,203
23,0.0047168513,204
207,0.004716708,205
101,0.004716351,206
206,0.0047163265,207
100,0.004715896,208
208,0.0047141626,209
209,0.0047140047,210
94,0.0047136284,211
