band_index,score,rank_1_is_best
4,0.003662962,1
2,0.0036629546,2
6,0.0036629518,3
0,0.003662946,4
1,0.0036629438,5
5,0.0036629427,6
3,0.003662942,7
7,0.003662914,8
8,0.003662895,9
10,0.0036628644,10
12,0.003662839,11
9,0.0036628323,12
11,0.0036628097,13
14,0.0036627874,14
13,0.003662748,15
15,0.0036627324,16
16,0.0036626125,17
17,0.0036625485,18
18,0.0036620803,19
20,0.0036616933,20
19,0.0036612295,21
21,0.0036611794,22
158,0.0036606656,23
22,0.003660642,24
160,0.0036606023,25
156,0.0036605056,26
170,0.0036604968,27
159,0.0036604928,28
157,0.0036604286,29
172,0.003660381,30
154,0.0036603713,31
161,0.0036603708,32
174,0.0036603434,33
176,0.003660274,34
173,0.0036602472,35
171,0.0036602067,36
155,0.0036601892,37
169,0.0036601478,38
175,0.0036601033,39
152,0.0036600067,40
179,0.0036599897,41
153,0.0036599578,42
178,0.0036599317,43
177,0.0036599126,44
181,0.0036597997,45
180,0.0036597357,46
183,0.0036596674,47
151,0.0036596323,48
150,0.0036596162,49
182,0.0036595948,50
184,0.00365956,51
185,0.00365946,52
168,0.0036593522,53
162,0.0036592807,54
149,0.0036592449,55
186,0.003659211,56
148,0.0036588765,57
187,0.0036587561,58
147,0.0036583142,59
146,0.003658309,60
188,0.0036581722,61
189,0.0036581513,62
193,0.0036581166,63
192,0.0036580993,64
191,0.0036580423,65
194,0.0036580288,66
195,0.0036579976,67
190,0.0036579843,68
197,0.003657949,69
201,0.003657925,70
199,0.0036578025,71
200,0.0036577503,72
198,0.003657747,73
145,0.0036576397,74
196,0.003657618,75
202,0.0036574574,76
144,0.0036572225,77
203,0.003657185,78
167,0.003657097,79
143,0.0036570681,80
204,0.0036566812,81
142,0.0036565813,82
207,0.0036565799,83
205,0.0036565599,84
23,0.0036563321,85
141,0.003656217,86
165,0.0036562146,87
206,0.0036560595,88
163,0.0036560576,89
209,0.0036559098,90
208,0.0036559093,91
210,0.0036555878,92
140,0.0036552753,93
212,0.0036552716,94
213,0.0036551123,95
211,0.0036550786,96
166,0.0036550784,97
217,0.0036550025,98
215,0.0036549799,99
164,0.0036548944,100
214,0.0036548255,101
216,0.003654723,102
219,0.0036545624,103
220,0.0036542402,104
218,0.003654216,105
221,0.0036541813,106
139,0.003653927,107
70,0.0036534716,108
72,0.0036533575,109
222,0.0036532707,110
138,0.003653066,111
74,0.0036530031,112
71,0.0036529966,113
69,0.003652868,114
73,0.0036527147,115
75,0.0036526723,116
223,0.0036526425,117
77,0.0036523924,118
68,0.003652364,119
76,0.0036521172,120
67,0.003651736,121
224,0.0036516734,122
66,0.003651464,123
79,0.0036513954,124
78,0.0036513212,125
80,0.0036512653,126
225,0.0036508986,127
137,0.0036508902,128
81,0.00365082,129
65,0.003650631,130
82,0.003650543,131
136,0.0036501037,132
64,0.0036499854,133
85,0.0036497216,134
83,0.0036496122,135
226,0.0036495822,136
84,0.0036494592,137
63,0.003649341,138
227,0.003649202,139
62,0.003648848,140
228,0.0036487891,141
86,0.0036486667,142
89,0.0036485544,143
91,0.0036484774,144
87,0.0036483647,145
229,0.0036481018,146
90,0.0036480569,147
88,0.0036479633,148
93,0.0036478087,149
92,0.003647789,150
230,0.0036473952,151
61,0.0036472634,152
231,0.0036467763,153
95,0.0036466848,154
94,0.0036464196,155
135,0.0036463984,156
60,0.0036461235,157
97,0.0036460776,158
96,0.0036459751,159
99,0.003645372,160
98,0.0036447719,161
101,0.0036445884,162
232,0.003644531,163
100,0.0036444298,164
233,0.0036441516,165
234,0.0036440243,166
59,0.0036439507,167
102,0.0036437607,168
235,0.0036431833,169
237,0.0036429975,170
105,0.003642776,171
104,0.0036426708,172
24,0.0036426154,173
109,0.0036424974,174
103,0.0036423772,175
58,0.0036423246,176
106,0.0036420447,177
107,0.0036420256,178
108,0.0036419635,179
236,0.003641758,180
238,0.0036410713,181
134,0.0036410096,182
110,0.0036409758,183
57,0.003640268,184
111,0.0036398785,185
112,0.003639818,186
113,0.0036390668,187
239,0.003638477,188
114,0.0036381905,189
133,0.0036380219,190
115,0.003637788,191
56,0.0036370049,192
116,0.0036358368,193
117,0.0036357772,194
55,0.003634591,195
118,0.003634532,196
119,0.0036335282,197
120,0.003631855,198
121,0.0036317029,199
132,0.003631671,200
54,0.0036306174,201
53,0.003630457,202
240,0.003630425,203
122,0.0036304041,204
123,0.0036299033,205
124,0.0036294204,206
52,0.0036286726,207
125,0.0036285617,208
131,0.003627537,209
51,0.0036268444,210
126,0.00362678,211
130,0.003626627,212
