rank,band_index,srpa_score_sorted
1,88,0.43553045421287967
2,87,0.43425682027484624
3,84,0.4276059836650552
4,85,0.4251478325824656
5,79,0.4214557421568373
6,86,0.4164435043081646
7,80,0.4081846584689482
8,76,0.4076772892215685
9,82,0.40560375610987415
10,99,0.4046931252580289
11,100,0.40371558645836186
12,77,0.40262295074587995
13,83,0.40106941630631776
14,93,0.39965057545203975
15,90,0.3987470450274892
16,98,0.39718586725828076
17,75,0.3920631194338854
18,95,0.39105380673066864
19,94,0.38832224308888497
20,89,0.38704088835975115
21,91,0.3747980021601137
22,58,0.37130956920402514
23,97,0.3693604421749639
24,73,0.3687946955249516
25,49,0.3603470024171226
26,74,0.35959332977642805
27,60,0.35808897736897555
28,54,0.35738758035240903
29,8,0.3565411536640249
30,101,0.3550971059003502
31,2,0.3546949885672337
32,68,0.35430485257465527
33,22,0.3538688728615218
34,6,0.34935955001963004
35,14,0.3473713252497974
36,17,0.34717048822444263
37,78,0.3451327874877751
38,53,0.3446021001622479
39,81,0.3445360650068837
40,23,0.3444386182889547
41,0,0.3443077773553198
42,31,0.3402963749912476
43,26,0.3395170459289435
44,72,0.3389746832332988
45,27,0.3386416001622728
46,64,0.33658349571716306
47,57,0.3357754486039969
48,20,0.3352543132223899
49,51,0.334281948533802
50,15,0.33394955350449285
51,50,0.33291553936712837
52,25,0.33179758016326216
53,30,0.33131052650188086
54,102,0.3310559516813028
55,42,0.329529959706773
56,19,0.3259854735000477
57,38,0.3252587473528877
58,34,0.3228203139593686
59,4,0.32076904815591556
60,3,0.3205604780326301
61,36,0.31976732553214954
62,21,0.31897769349243676
63,44,0.31740290094891693
64,9,0.31622247274288084
65,46,0.3154084711750782
66,71,0.31523077763523577
67,92,0.3134578105032171
68,67,0.3121458279308678
69,48,0.31209535495015095
70,65,0.3118528884490126
71,41,0.3090454647597066
72,7,0.3082659623787254
73,70,0.30803318138935787
74,96,0.3075885205889173
75,43,0.30708585857973103
76,24,0.3047036774203088
77,1,0.3025429282110737
78,32,0.29749850269281747
79,29,0.2961197455335026
80,33,0.29462088594130675
81,55,0.292264791046148
82,63,0.28821300885508083
83,45,0.28811924744656636
84,69,0.2862213541552391
85,47,0.28590707440147156
86,12,0.28528636720776024
87,28,0.2815491778088155
88,56,0.2802040073604309
89,18,0.2779561054169528
90,16,0.27696861846746124
91,13,0.27658679719809554
92,61,0.2762410782590219
93,59,0.26403885055636916
94,35,0.2614166743647309
95,52,0.2597287417857322
96,10,0.25906668853881726
97,66,0.2554782811515725
98,39,0.24614539936092106
99,5,0.24405364325385037
100,37,0.24267675053166005
101,11,0.2322091051526165
102,62,0.22361140365737991
103,40,0.2085486371040138
