rank,band_index,ssep_score_sorted
1,157,0.0003195587
2,136,0.0003195587
3,151,0.00031866608
4,135,0.00031821983
5,177,0.0003168809
6,141,0.00031643457
7,149,0.0003159882
8,185,0.00031509565
9,187,0.0003146495
10,143,0.00031464925
11,162,0.00031420303
12,171,0.00031420295
13,201,0.00031375664
14,160,0.00031375664
15,131,0.0003133104
16,150,0.00031331033
17,137,0.00031331033
18,176,0.00031331033
19,125,0.00031286408
20,169,0.00031286402
21,147,0.00031286402
22,146,0.00031286402
23,130,0.00031286402
24,189,0.00031241772
25,123,0.00031241772
26,134,0.0003119714
27,179,0.0003119714
28,129,0.00031152522
29,188,0.0003115251
30,166,0.0003115251
31,194,0.0003115251
32,128,0.0003115251
33,153,0.0003115251
34,139,0.0003110789
35,183,0.00031107885
36,167,0.00031107877
37,186,0.00031107877
38,174,0.00031107877
39,145,0.00031107877
40,181,0.00031107877
41,142,0.00031107877
42,191,0.00031107877
43,163,0.00031107877
44,175,0.00031063246
45,148,0.00031063246
46,193,0.00031063246
47,199,0.00031063246
48,133,0.00031063246
49,165,0.00031018624
50,180,0.00031018624
51,164,0.00031018615
52,152,0.00031018615
53,184,0.00030974005
54,155,0.00030974
55,172,0.0003092936
56,138,0.00030929354
57,127,0.00030929354
58,168,0.00030929354
59,170,0.00030929354
60,159,0.00030840098
61,124,0.00030840092
62,144,0.00030840092
63,178,0.00030840092
64,156,0.00030840092
65,154,0.00030795461
66,161,0.00030706197
67,132,0.00030706197
68,140,0.0003066158
69,122,0.00030661572
70,206,0.00030661566
71,126,0.0003061695
72,192,0.00030616942
73,190,0.0003057231
74,158,0.00030572305
75,198,0.00030572305
76,196,0.00030527674
77,200,0.0003039378
78,197,0.0003039378
79,119,0.0003039378
80,120,0.00030349157
81,203,0.00030349148
82,173,0.00030304538
83,121,0.00030259887
84,209,0.00030259887
85,182,0.00030215256
86,208,0.00030170637
87,205,0.00030170626
88,195,0.0003008136
89,117,0.0003008136
90,207,0.00029992106
91,210,0.00029902844
92,202,0.00029902838
93,116,0.0002985822
94,204,0.00029724312
95,118,0.00029724312
96,115,0.00029233377
97,114,0.00028608536
98,113,0.00028340748
99,39,0.00027582026
100,44,0.00027358872
101,40,0.0002718034
102,43,0.0002718034
103,41,0.00027046454
104,112,0.00027001824
105,46,0.00026912554
106,38,0.00026823292
107,42,0.00026823292
108,36,0.00026823292
109,45,0.0002673403
110,48,0.00026689406
111,0,0.00026689406
112,35,0.00026555505
113,31,0.00026376982
114,47,0.0002633235
115,34,0.0002628774
116,33,0.00026287723
117,37,0.0002615383
118,49,0.0002615383
119,50,0.00026064564
120,32,0.00025975303
121,111,0.00025975303
122,4,0.0002588605
123,2,0.00025752146
124,53,0.00025707515
125,29,0.00025618268
126,110,0.00025350467
127,30,0.00025261208
128,26,0.0002517194
129,28,0.00025082697
130,52,0.0002508268
131,54,0.0002503806
132,55,0.00024904154
133,1,0.0002485953
134,51,0.0002477026
135,57,0.00024636375
136,27,0.0002463637
137,109,0.00024547105
138,62,0.00024457843
139,3,0.00024457843
140,23,0.00024413223
141,8,0.0002432395
142,61,0.00024234688
143,12,0.00024234688
144,56,0.00024234688
145,9,0.00024190062
146,25,0.00024190058
147,6,0.00024190058
148,19,0.0002410081
149,7,0.00024100806
150,58,0.00024056164
151,11,0.00024011533
152,22,0.00024011533
153,21,0.00024011533
154,24,0.00023966907
155,60,0.00023966907
156,59,0.00023966901
157,16,0.00023966901
158,17,0.00023743746
159,64,0.00023699125
160,5,0.0002369912
161,10,0.00023654489
162,108,0.00023520601
163,13,0.00023431328
164,20,0.00023342071
165,66,0.00023297434
166,18,0.00023252814
167,107,0.00023252814
168,63,0.00023252804
169,67,0.00023252804
170,14,0.00023208173
171,65,0.0002307428
172,15,0.00022851124
173,68,0.00022226303
174,69,0.00022137027
175,73,0.00022092395
176,70,0.00022003133
177,71,0.00021690715
178,106,0.00021556827
179,74,0.00021422934
180,78,0.00021199773
181,77,0.00021155147
182,79,0.00021155142
183,76,0.00021110511
184,72,0.00021065879
185,80,0.0002070883
186,75,0.00020530306
187,105,0.00020307151
188,82,0.00020173262
189,81,0.00020128627
190,83,0.00019994746
191,84,0.00019548423
192,104,0.00019503791
193,85,0.00018834326
194,87,0.00018745067
195,88,0.000186558
196,86,0.00018388018
197,90,0.00017629293
198,103,0.00017495392
199,89,0.0001740613
200,91,0.00016781295
201,92,0.00016602778
202,102,0.00016379614
203,93,0.0001633499
204,94,0.00016201101
205,101,0.0001579942
206,98,0.00015754782
207,96,0.00015710155
208,100,0.0001566552
209,95,0.00015576255
210,97,0.00015442361
211,99,0.00015085316
